ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
b5ad585e-82ba-444a-b3ed-c135184f3b8d	HTTcag	+	21	4.924442597364417	6.330791386471519	-5769.711652705365	9724	920	-
c5ff4317-ad5b-490c-bbfc-21c7d4a7932e	HTTcag	+	19	5.506929021216555	5.185148998534441	-6575.724217748536	11123	982	-
3241eea1-ffd0-445e-825b-9e1d00529b8f	HTTcag	+	30	7.366801024046027	6.705876473063973	-6011.8732066300045	9438	978	-
3904227f-75e4-4ea2-85d3-03abd92ed25a	HTTcag	+	34	5.927309731606607	5.97439835596992	-5548.154490479633	13154	770	-
fe23910b-5bca-455c-b077-f3f3735ec94a	HTTcag	+	135	5.930950189092357	6.858532731141522	-13800.291069819	9944	4204	-
5e63d7fb-ec5c-45ad-9931-482e5cd35a0e	HTTcag	+	26	5.482105166036359	5.6975601438492065	-6269.454545812946	10836	1120	-
d2cf1a4b-6f4f-44e6-b8b0-522530553c5b	HTTcag	+	0	3.7837128388472405	3.840502052354399	0	27036	0	-
7cf19d43-e8c6-4006-ba08-4d47157e6cda	HTTcag	+	27	5.5830479527378944	7.177746868336887	-5804.5358051883495	9332	913	-
459686d6-a008-4012-a3bb-2f7fc21783f3	HTTcag	+	17	5.939911179315477	4.951456146628499	-3600.5848333514473	8966	301	-
5154c9b4-f364-4205-93ef-fe517a7ae6de	HTTcag	+	34	5.665357730263158	5.744146596199277	-7316.438505194703	10242	1358	-
78173154-59d1-4f7c-93d2-b188a9fd1ee8	HTTcag	+	24	6.580345416891164	4.478082095875459	-3307.3056425962664	8789	0	-
8cf332b1-7174-4f36-8452-eb3555b0288d	HTTcag	+	24	6.823908459540852	5.352823371561165	-6490.872274581445	9381	1344	-
b2b3601b-012a-458b-b546-51a0fd4ed6da	HTTcag	+	31	6.079380829184007	6.649238046562083	-5716.963261992233	10315	973	-
5fa27741-03aa-4dcb-82c4-3967be2479ef	HTTcag	+	149	6.749139876463804	6.670182858548225	-14148.802106201203	10606	4373	-
02fe5507-923d-4b37-948f-d7926ddd315a	HTTcag	+	20	6.539599946120689	6.974680434641372	-5018.102012396785	10710	815	-
2b675c98-904c-4b06-aa01-f88ee672dd40	HTTcag	+	22	6.049395181458067	4.323102361505682	-4342.026460998432	10577	366	-
1a1f96c5-27f2-412b-a2af-4cea16b50940	HTTcag	+	32	6.8093440358231705	5.300022861564434	-4832.227660810491	10942	532	-
ca3c98b4-78dd-4f88-a8cc-a894a42022a5	HTTcag	+	27	6.989270270419915	7.495377553264269	-5976.020552290914	7821	1086	-
07e51823-8031-4bf9-97b6-9437c60cd7b6	HTTcag	+	24	6.431664171557741	7.090953480113637	-5479.011786020381	9991	957	-
1c65a4f0-730e-4b3d-bfec-c2d6c570345b	HTTcag	+	32	6.169117069723618	5.676313920454546	-5678.064014388363	9628	923	-
a47c6c7b-77c0-4b20-8b72-5668541c4d96	HTTcag	+	33	5.198927814668981	7.2761104251292466	-6137.310059019034	10844	965	-
87ca60b4-0956-44a7-ba41-ffbf1b2023f9	HTTcag	+	26	5.368609166041212	7.562585809924183	-6181.60273602101	9653	985	-
17fc0f5c-9a24-438e-937f-37c624104e92	HTTcag	+	28	7.250067422556323	6.161863416950992	-5816.337262855124	8940	1023	-
225c8e2d-6830-41e0-a4bc-e45353029464	HTTcag	+	33	6.571006036266396	7.013122809080027	-5838.504283397573	12391	1043	-
764c8039-8a5c-42f4-a9d2-75c028169d9d	HTTcag	+	29	4.4486739826246	4.629447714729942	-7556.598600463031	14342	1258	-
189fa239-d825-4f76-9847-c40e8eaa7676	HTTcag	+	20	6.475581383244504	7.49318263647586	-6144.2480089085975	11499	1155	-
395d6f5b-012b-45fd-92e2-cbe04d41ed91	HTTcag	+	35	6.505393669501321	6.9697366094393	-5876.859806573815	9364	1080	-
e289d27c-b312-4a29-bfd3-1341822878a3	HTTcag	+	28	7.05435254747455	4.614992386447111	-5691.941878000634	10053	767	-
b7819ae6-240f-4378-9bc0-660d4e93c898	HTTcag	+	33	7.3918689812166285	6.5342582540309175	-5414.7168448948505	9647	1003	-
90c1a34c-0f11-4e07-98d1-edc9ae8efd56	HTTcag	+	26	4.366848807803469	6.663027092501693	-5970.208101346979	11462	1091	-
58bf87d8-1f57-4853-a924-be737ec87c69	HTTcag	+	139	6.721745072894168	6.850155656508978	-15133.213687545232	9506	4207	-
f90e1b9b-e811-4659-ab0b-191159834821	HTTcag	+	30	6.91822229969574	6.548061995967742	-6064.302964980395	13817	988	-
027c734e-36e5-4c67-a647-e2d8567b2edc	HTTcag	+	33	6.1457543823849505	6.932208301575203	-5649.164468059895	10709	1020	-
c364436d-5574-4bbe-b271-2d61b1616a19	HTTcag	+	32	6.617494644657258	7.090727558938263	-5373.4412688800985	10100	913	-
97bd9b23-7777-462e-bc3e-b451314edd49	HTTcag	+	21	6.918616414894537	6.383661386918049	-5896.548674571473	10078	1033	-
c62f687f-ddac-4eba-8400-48f595b1c0a7	HTTcag	+	144	6.715593965446487	6.972117694375881	-13892.820706563574	10753	4171	-
528d822a-3c24-4e51-9d13-d8749260c30a	HTTcag	+	32	6.714496345413165	7.26089531918211	-5999.962700156297	9546	1089	-
