ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
c5ff4317-ad5b-490c-bbfc-21c7d4a7932e	HTTcag	+	18	5.506929021216555	4.77518326958739	-4647.921062678702	11123	575	-
3241eea1-ffd0-445e-825b-9e1d00529b8f	HTTcag	+	25	7.366801024046027	6.492666409869292	-4619.529972906253	9438	659	-
b5ad585e-82ba-444a-b3ed-c135184f3b8d	HTTcag	+	20	4.924442597364417	6.18190783759265	-4238.139267884147	9724	643	-
3904227f-75e4-4ea2-85d3-03abd92ed25a	HTTcag	+	25	5.927309731606607	4.882943798357433	-4022.3294015017095	13154	104	-
fe23910b-5bca-455c-b077-f3f3735ec94a	HTTcag	+	129	5.930950189092357	6.260925517638037	-12337.316877113637	9944	3828	-
5e63d7fb-ec5c-45ad-9931-482e5cd35a0e	HTTcag	+	22	5.482105166036359	5.790660308209382	-4679.537226318877	10836	749	-
d2cf1a4b-6f4f-44e6-b8b0-522530553c5b	HTTcag	+	0	3.7837128388472405	5.624794716591592	0	27036	0	-
5154c9b4-f364-4205-93ef-fe517a7ae6de	HTTcag	+	24	5.665357730263158	5.274663009528016	-5765.492308326306	10242	989	-
7cf19d43-e8c6-4006-ba08-4d47157e6cda	HTTcag	+	22	5.5830479527378944	6.728323063380282	-4337.807826658369	9332	578	-
459686d6-a008-4012-a3bb-2f7fc21783f3	HTTcag	+	17	5.939911179315477	6.1113503196022725	-3943.7972688525306	8966	440	-
b2b3601b-012a-458b-b546-51a0fd4ed6da	HTTcag	+	23	6.079380829184007	6.114702524038462	-4479.128179847861	10315	602	-
78173154-59d1-4f7c-93d2-b188a9fd1ee8	HTTcag	+	23	6.580345416891164	4.858512197428139	-4466.032029787799	8789	473	-
8cf332b1-7174-4f36-8452-eb3555b0288d	HTTcag	+	25	6.823908459540852	6.326937519506866	-5102.256769546111	9381	927	-
5fa27741-03aa-4dcb-82c4-3967be2479ef	HTTcag	+	141	6.749139876463804	6.946328616009078	-12729.307191356427	10606	4086	-
2b675c98-904c-4b06-aa01-f88ee672dd40	HTTcag	+	23	6.049395181458067	5.717657761346726	-4513.017327781608	10577	524	-
02fe5507-923d-4b37-948f-d7926ddd315a	HTTcag	+	20	6.539599946120689	6.92125441246535	-3824.8515018969115	10710	478	-
1a1f96c5-27f2-412b-a2af-4cea16b50940	HTTcag	+	25	6.8093440358231705	4.628123691060316	-3988.0918330987083	10942	611	-
ca3c98b4-78dd-4f88-a8cc-a894a42022a5	HTTcag	+	23	6.989270270419915	5.769500164226726	-4598.58146851962	7821	719	-
07e51823-8031-4bf9-97b6-9437c60cd7b6	HTTcag	+	24	6.431664171557741	6.377470709294062	-4196.402933480401	9991	634	-
1c65a4f0-730e-4b3d-bfec-c2d6c570345b	HTTcag	+	21	6.169117069723618	5.218441360384051	-3881.209907872401	9628	543	-
a47c6c7b-77c0-4b20-8b72-5668541c4d96	HTTcag	+	24	5.198927814668981	5.440032992855161	-4984.506028128954	10844	605	-
87ca60b4-0956-44a7-ba41-ffbf1b2023f9	HTTcag	+	24	5.368609166041212	6.458734629105549	-4933.044964701628	9653	680	-
764c8039-8a5c-42f4-a9d2-75c028169d9d	HTTcag	+	21	4.4486739826246	4.729116484055252	-5463.7805889177125	14342	841	-
17fc0f5c-9a24-438e-937f-37c624104e92	HTTcag	+	23	7.250067422556323	5.7547541399956845	-4350.747602391761	8940	643	-
225c8e2d-6830-41e0-a4bc-e45353029464	HTTcag	+	23	6.571006036266396	6.252934402346107	-4525.394880671158	12391	600	-
189fa239-d825-4f76-9847-c40e8eaa7676	HTTcag	+	20	6.475581383244504	6.803829268422396	-4611.359228440111	11499	807	-
395d6f5b-012b-45fd-92e2-cbe04d41ed91	HTTcag	+	26	6.505393669501321	5.743783613962317	-4534.8949265878755	9364	571	-
e289d27c-b312-4a29-bfd3-1341822878a3	HTTcag	+	22	7.05435254747455	5.275310657029555	-4248.663870657503	10053	503	-
