ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
a36d149c-d92f-4077-a4b1-f1b2c4ca581e	HTTcag	+	23	6.393617936366581	4.035453321953781	-4477.126347258349	10500	617	-
af88ed82-a335-4f06-adbe-9367f6c1e71d	HTTcag	+	24	6.651665746001684	6.103156146957434	-4170.994404064789	9867	666	-
43021cdc-1f4f-48e9-bfb1-1477a2055aa7	HTTcag	+	22	5.649913207150176	4.755542039410058	-2915.6703648521384	10371	0	-
704856b2-3ce1-4f14-986e-a9bbe142a086	HTTcag	+	19	6.191091593790116	5.425352103157439	-4038.898171476437	10469	569	-
3f553991-1826-4748-81e2-79dbf7103158	HTTcag	+	21	6.833868956785209	6.990478162310058	-4071.9707530656624	9031	537	-
7f9bebe2-477a-4915-b5ce-d72e2381b841	HTTcag	+	23	6.437149725563594	5.716718375074985	-4738.85523713596	9747	575	-
acdf14f0-b0d5-4ad4-8ca2-209b79ed3124	HTTcag	+	21	6.774602077066181	6.062229760041234	-4147.34972652562	10249	631	-
beae263a-5874-4633-b736-bbe04e5d5ab0	HTTcag	+	19	6.765456974793531	6.015053133659175	-4145.514308931414	10069	497	-
5e4c0bf2-104a-4c4a-980c-2be2ec82500c	HTTcag	+	24	6.419079944137533	6.394858442313864	-4884.243036741428	10316	647	-
0c0903d4-8d76-4802-a9d2-40c76c2149df	HTTcag	+	25	6.266217397519353	6.126939165042235	-4060.8779008781585	10136	323	-
bed7eaaf-46ae-4914-adb7-f4786a9d2b37	HTTcag	+	24	7.056386991012473	6.914201398386214	-4180.465272261407	8067	572	-
7fe8fa10-56ee-4149-9d40-a1b85a6aa496	HTTcag	+	27	7.070562285494942	6.321015486480497	-4405.000164727369	8644	689	-
6ff71352-412d-4915-b102-44d134a82801	HTTcag	+	20	5.746966243339574	7.425314854617465	-3894.3370309855172	9596	450	-
99ffe8a8-610d-4cc4-beb3-c0948d896ea0	HTTcag	+	22	6.056027743857312	6.526650359021035	-4197.911884099129	10568	502	-
409c8b7c-0bc8-48db-b043-240f153271ae	HTTcag	+	26	6.203494874512305	6.814248934659091	-4549.839057312986	10487	649	-
6fef2116-5580-42ff-a2d0-cad223c41319	HTTcag	+	26	5.539485950630252	7.110480986445783	-4173.900177576488	9786	680	-
ae52c5f5-e02f-4088-943a-d50a1eef5428	HTTcag	+	22	7.020790353309884	7.235227206226591	-3745.9204897690443	9567	558	-
dfc83f3e-c71c-42d1-ba35-185f800df3a1	HTTcag	+	20	6.267046670688045	6.868659671299454	-4324.002253659335	9743	520	-
ee8b91b7-45bb-4850-a0bf-04945c61c696	HTTcag	+	24	6.386164587031956	6.584986687335201	-4291.603830173253	10467	625	-
9b91660b-c939-41e2-b0f4-8ea66a940f6b	HTTcag	+	27	6.030810332850657	5.571005961830481	-4963.93718759581	10427	698	-
d569b69c-4017-4519-845c-a5c0e341a9aa	HTTcag	+	22	6.330125218115482	6.5582938197451695	-4048.4307129182757	9566	513	-
15a82c21-7af7-4d6b-8f95-9af55bab3147	HTTcag	+	23	5.830343457379608	6.7884957968440185	-5154.687522695685	9592	794	-
6748ee7a-3c53-4a99-97d3-5c1933f83ffc	HTTcag	+	21	6.338837421976329	6.018255833089526	-4364.105957937112	9437	461	-
3966399d-3cab-44ea-af79-132e1ed414f2	HTTcag	+	25	4.586733200102756	6.1019845736228815	-4215.8904786585745	9647	537	-
ea754150-37a8-4f89-817f-4fd92666861c	HTTcag	+	21	6.1366085217739474	6.196469951195521	-5216.274528914118	15427	724	-
34a481a3-5b4e-4cf5-b1ac-651f878cf14b	HTTcag	+	20	6.822289794105351	4.866224107923327	-4387.729536365512	10938	607	-
7cf2351c-d279-441c-b9f0-9b8d76112817	HTTcag	+	23	6.599772135416667	6.0023065757175225	-4274.572107954725	10630	650	-
d7d3ec5b-a35a-4390-857e-d42fbadaa154	HTTcag	+	0	6.277948527934083	3.419484743568908	0	8384	0	-
bf2b996c-e644-45ea-b4a0-69effeed3197	HTTcag	+	27	6.092720463590802	4.4002165127020785	-4729.377611194501	9956	777	-
6ec9df5f-449d-4223-87d3-33535993e035	HTTcag	+	141	5.132182240278584	5.158345912206267	-13824.292670911063	10718	4480	-
c3224123-372d-4480-8d37-08c6af7f4402	HTTcag	+	23	5.107198753104305	6.722815506767776	-4288.869007193443	10076	566	-
a7d3af02-d75d-4b54-8e14-27c23222ff4a	HTTcag	+	25	5.945509843039312	6.549682043317663	-4408.816203107229	9706	560	-
9b1be5df-fff3-417c-84d6-4cc40f095442	HTTcag	+	136	6.184715477195946	6.434368135982428	-12867.191911545193	10005	3998	-
af2981db-fb39-4a72-a6fc-5fb25edbc5a5	HTTcag	+	32	7.514876275895012	7.398388997637139	-4621.480135326306	8530	816	-
8a008f91-b8e3-4044-a585-b4ea7d6dcdf4	HTTcag	+	22	5.717392753555389	7.818625143405826	-4456.99675358368	8601	483	-
b5b3193b-9092-41ff-b491-d719942a6664	HTTcag	+	23	7.5588886186770425	6.449659239176934	-3896.8207799783877	10769	631	-
f2d9b785-7c8c-4fb5-8c89-1d6cc76ad7bc	HTTcag	+	26	6.500963337491091	6.1926734635583705	-4108.869930395276	12812	575	-
30caed01-ad4c-48a0-92dd-a44a05c5a1a2	HTTcag	+	25	6.650375552652733	6.940042930074258	-4468.2760284647	12274	810	-
6fe5f540-e8c0-4ad1-b253-a64e51067d28	HTTcag	+	25	6.641756069345842	6.7421572554628355	-4198.503439861862	8917	674	-
58e3bd6a-291d-45a6-b260-166640f49593	HTTcag	+	26	7.740817546469316	6.306516818375077	-4589.978759957124	9393	711	-
673abee1-63f3-430e-9597-726b658bb156	HTTcag	+	19	6.206098076697434	6.0071222412833825	-5107.043393129233	9705	600	-
5700a8a5-ccca-4a6c-bf78-7c8ea2d74e94	HTTcag	+	7	6.740592294678883	3.5517072508321004	-1924.1731909655146	9175	0	-
987707d5-55e6-4914-88e8-7bab3176495a	HTTcag	+	26	6.202498026417129	6.837825913027109	-4561.450856837996	11577	711	-
bdad2c6d-6f3a-4009-b6f1-960a018a03d2	HTTcag	+	22	7.141888959271772	5.855393159504838	-4104.234979233877	10834	524	-
502b22fe-fcff-4140-8a75-3c86f6741bf3	HTTcag	+	22	7.134509413626396	4.0237634414028856	-4089.818036166251	10684	376	-
67de1f6d-151d-4e04-be52-90f0ed975f76	HTTcag	+	23	6.619374332264957	3.5413374800581834	-5690.49091808325	11447	581	-
c2a33463-02e4-4c82-9403-f936e9174e38	HTTcag	+	21	6.623283536844792	6.277007636498748	-4105.8106122171175	11169	609	-
155fac6c-916c-46a8-85c2-d3e9021948f2	HTTcag	+	24	5.948205657730673	5.476589856137685	-4553.897431585246	10881	670	-
