ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
d9d3e825-4257-4e7f-b0d2-eabb34c5e3c3	HTTcag	+	22	6.974257541859123	4.079849821635426	-4545.7065517490655	8171	351	-
40550313-d39f-4a77-b2c5-fff529e886b5	HTTcag	+	22	6.466828859973868	4.137641424125168	-4152.2801959199605	9527	535	-
7e8356e5-26d4-420e-a9e3-f86bd285bd45	HTTcag	+	28	6.292366871184126	4.450874699243813	-4310.305315822425	10109	716	-
58d6b8da-d8e1-4060-a7ff-a0c67d27d3cf	HTTcag	+	25	5.4623419436416185	6.612291106167219	-5501.3636834432655	9896	851	-
138cd2be-6b42-43d0-bd86-e197596bdd60	HTTcag	+	25	6.0049982076917034	6.541556334896507	-4206.149450679827	11038	677	-
9f132056-829d-4a6e-bcdd-5162ebd3c8f1	HTTcag	+	24	5.266059676460598	7.290550726232395	-4505.6785183131815	12994	584	-
f752b817-edc6-46af-b34c-531844b88b56	HTTcag	+	0	2.802859088190304	4.020087494174606	0	22590	0	-
c78a2c9a-8856-4b5c-92e9-85fceac088bb	HTTcag	+	24	5.86024686633549	4.250624570741758	-4449.446663969356	8546	563	-
467c2e23-ebdf-423f-8632-532623967c11	HTTcag	+	21	6.2851514804639805	6.232728270745003	-4435.195789418182	34421	617	-
24ead24e-123a-4bd1-8234-be17f99ecabb	HTTcag	+	28	6.994810801389873	7.107561594032379	-4002.5124178838632	9378	604	-
c316c450-1001-4a57-a136-73e07c62deb5	HTTcag	+	22	6.159839383496979	6.690733798238255	-4460.991258776595	9897	671	-
2054c841-7406-4a1e-91ed-df9597cfe8b9	HTTcag	+	0	6.449290729092842	3.632135617224526	0	9682	0	-
f7c85839-0004-434a-9fbe-9bcc58b8d554	HTTcag	+	20	5.931082183500582	6.400960932727551	-4373.6137476346075	10209	462	-
e2ee3d04-b9b6-4388-922f-594adb6c2ca8	HTTcag	+	145	6.202125611970941	5.520869542547275	-13612.737518598886	10619	4489	-
92f3f277-c57b-4d5b-9ca2-f08e106424de	HTTcag	+	134	6.347471262389868	5.8025515868717505	-12472.91761184024	9681	3824	-
825542ca-9e48-42dc-b017-0af8956f6eb7	HTTcag	+	132	6.14099800904207	7.439104103377413	-12446.031819748783	9793	3849	-
340a208f-3a15-42c6-af93-4ee1e4c7c36e	HTTcag	+	116	6.333969771009428	4.259319642658818	-10386.353099385728	9637	2903	-
60cf42b8-c90c-4c8e-a848-32547e21c155	HTTcag	+	20	6.4626084364853895	6.578853623794338	-4785.878888025026	10924	733	-
b6416217-5f12-47c5-ba47-e704f4ff7a13	HTTcag	+	23	7.4317335296387075	6.158967288122722	-4294.647907513113	8736	584	-
577f68fc-95e7-46ba-8e92-38adbb242807	HTTcag	+	23	6.081182929061344	6.145902606128375	-3703.9603376290306	9840	477	-
e2183fdd-5c57-4f1e-ab3e-e8209e29459a	HTTcag	+	138	4.869758520928318	6.558525880791506	-13493.30106852032	10700	4181	-
c13f975e-2106-4608-87c5-04cef8962ff2	HTTcag	+	28	5.9354168663727	5.625914382283968	-5478.192780747747	12963	960	-
9362d40d-06a9-4c75-93e2-5934ec6a680e	HTTcag	+	132	5.502514515027323	6.396171149380805	-12606.440193438228	11403	3797	-
c5893305-7bf0-4a6d-9923-bbc3555a6ff7	HTTcag	+	135	5.620630637886598	6.202590245280774	-13596.500676302181	10593	4305	-
786f540e-706c-4596-baf1-c76eaa0cb345	HTTcag	+	21	6.231401938071522	6.728551744434932	-3387.5413153203353	9851	402	-
4e0940ad-953b-44f3-a98b-6d4bc52d2eac	HTTcag	+	23	6.202022681762169	6.885727025626323	-5220.834788949777	9679	1067	-
7e023a61-6f1d-42a1-870f-cbbb9eb80286	HTTcag	+	23	6.631332916867374	6.466638167595019	-4386.029955603741	9504	704	-
f55b9fd4-fdf7-42a8-8fd8-4565f81f9163	HTTcag	+	25	6.737493317890236	6.560701174546853	-4090.6967560887947	10251	696	-
eceb2fb9-ae91-46dd-b0ce-064c54c4a2fb	HTTcag	+	136	6.257132361499069	5.787946347837095	-11630.44131560513	9976	3359	-
f9d7d7f9-ad20-46f7-8dbc-3549a68ffa07	HTTcag	+	129	5.85004809496997	7.498727193692836	-12047.5881857513	9469	3923	-
d35b77fe-cced-4990-b6b9-d68f5b29847c	HTTcag	+	21	5.667319853767226	4.168996363085849	-4552.770600693301	9370	787	-
5c906859-bdb8-4126-bf2e-3976ec5cdc3a	HTTcag	+	26	6.066464143933225	6.870998559125176	-4204.426817564588	8714	666	-
f25bee2a-d6c0-4d15-9176-96bb372e9deb	HTTcag	+	24	6.048297668605535	6.784703456216353	-4062.8040850092043	10174	690	-
3704f3b5-e108-428f-944d-7bdd62740fa6	HTTcag	+	33	5.95106415719697	6.224941210284281	-5155.2699573379705	9695	629	-
4e5d103c-fe68-4828-8267-af94a636658a	HTTcag	+	21	6.476981306362726	6.753701997139085	-3869.5828762692963	9715	616	-
1d6d48b1-699d-4f88-9b38-f3c8b8935a85	HTTcag	+	20	7.233897184497414	6.360757372654155	-3527.548280564913	8890	262	-
b7bbc268-8a9d-4e3b-95c6-72ba55b963a2	HTTcag	+	26	5.621799999113726	5.29620055131689	-4398.200514644138	9753	406	-
6d8f56ba-3f7d-42a2-82ee-5af2bc89b52e	HTTcag	+	27	6.64592497155112	4.4054978676892205	-4304.844086245199	8962	730	-
21018cd1-3b6f-486f-b15c-e522c7f9dc55	HTTcag	+	1812	3.007179468707309	3.2797481496710525	-377324.8904756572	30481	82480	-
4280afee-d58b-4b16-aacf-28e8253f1016	HTTcag	+	0	6.468296505626619	3.2394739849532956	0	9302	0	-
f7cf8086-be23-41e5-bc7b-a21d5484dff9	HTTcag	+	26	5.516178253014236	5.885777527518094	-5151.370600248771	10627	854	-
e6848f9c-cc9b-4d43-a70a-1a0e21649e85	HTTcag	+	138	5.795912929865867	5.521801665882195	-14232.675166571478	12642	4435	-
2d507a40-a9a9-4993-8d06-ecb1e6480fd0	HTTcag	+	27	5.933276425734412	6.825551462697459	-4484.19689893139	9303	734	-
b960ff61-b5ec-40ef-9a21-c62c9a0c9002	HTTcag	+	20	5.8273424487053305	5.673763545866936	-4573.759033601234	10449	575	-
c79d03b0-e216-4f9b-b590-fb73baf63535	HTTcag	+	135	6.568327567351004	7.302715425762301	-11091.586220652016	8463	3416	-
eb05b3c2-55f9-46a6-aba7-6f43a565232b	HTTcag	+	21	5.960408657656943	6.7797349903681505	-3832.498519952537	9500	461	-
ce9dd510-dd01-4d3e-a54a-2ac53dc008f7	HTTcag	+	25	4.4645478506171346	5.955463110452269	-5462.3031268683435	12107	981	-
acafc4e7-f96d-45bc-816c-945dfcf105b3	HTTcag	+	20	6.430605032440868	6.306537729274402	-4313.758395544135	10228	600	-
d5490e7c-9e31-4e43-b698-0a700bd1d62a	HTTcag	+	23	6.881552313215971	6.345980564503457	-4111.086137633117	10496	632	-
b9c4a6b2-3dcc-435a-bc6e-a5420f17dc7d	HTTcag	+	26	6.700011996419945	6.185857546143457	-4642.635998584307	10026	721	-
